tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086010502,0.6453403053288553,0.602117,0.043223303318509876,Critical
12086010604,0.4330987581725669,0.4228501,0.010248655986363875,Moderate
12086010624,0.5492094855179175,0.57575774,-0.026548256410183102,High
12086010608,0.4873495145069698,0.48396957,0.00337994530073199,High
12086010609,0.362176451042829,0.3562248,0.0059516459261755306,Low
12086010610,0.5565143965403212,0.5248009,0.031713499895728914,High
12086010618,0.6201891019486313,0.61844856,0.0017405464791183656,Critical
12086010613,0.5261980579375894,0.4492497,0.07694834332462863,High
12086010622,0.5766381961269804,0.5994982,-0.02286001621051348,Critical
12086010626,0.6385562638476798,0.6175184,0.02103783885988686,Critical
12086010708,0.6889607336535336,0.6228618,0.0660989310755612,Critical
12086010706,0.6343490524245201,0.64592296,-0.011573906426340486,Critical
12086010805,0.6861309281007772,0.6639293,0.022201644481850247,Critical
12086010804,0.6542781351436672,0.6365098,0.01776835902824969,Critical
12086010900,0.48154191825628434,0.46264914,0.018892781474591835,High
12086011011,0.6423986441749439,0.64874285,-0.00634421042024047,Critical
12086011003,0.38569513136012035,0.37389293,0.011802198229856065,Moderate
12086011013,0.6993809681435689,0.62656945,0.07281151824198806,Critical
12086011015,0.6365782336053607,0.616841,0.019737215405440045,Critical
12086011008,0.6158511216967444,0.59934527,0.01650585487774414,Critical
12086011009,0.48174792182564136,0.52728546,-0.04553753483176831,High
12086011104,0.6104354499506417,0.58220255,0.028232896201557223,Critical
12086011106,0.6652722341263055,0.6509043,0.014367936297631223,Critical
12086011206,0.6410858783223274,0.58507717,0.05600871176501543,Critical
12086011204,0.6171419814338991,0.61175954,0.005382438015014812,Critical
12086011302,0.6217219706221473,0.62386966,-0.0021476868943322014,Critical
12086011412,0.7678887752026583,0.6518423,0.11604647907915366,Critical
12086011406,0.6594700465333097,0.6489507,0.010519350541793537,Critical
12086011408,0.7406535131444256,0.71546024,0.02519327230351376,Critical
12086011500,0.5459176061490167,0.53375477,0.012162840161620503,High
12086011602,0.565695655564614,0.6035765,-0.03788082577770169,Critical
